keyword,tfidf,count
system transitions,1.0,38
political economy,1.0,27
Climate Resilient Development,1.0,18
societal choices,1.0,16
planetary health,1.0,15
societal transitions,1.0,13
sustainability transitions,1.0,13
sustainable aquaculture,1.0,11
adaptation gaps,1.0,10
energy transitions,1.0,9
greenhouse gas mitigation,1.0,8
media,1.0,8
CRD pathways,1.0,8
societal transformation,1.0,8
worldviews,1.0,8
gender equality,1.0,8
Climate Resilient Development Pathways,1.0,7
GHG mitigation,1.0,7
SDG,1.0,7
Sustainable development,1.0,7
subsidies,1.0,7
biodiversity management,1.0,7
accountability potential,1.0,7
institutional capacity,1.0,6
global regions,1.0,6
sustainable development priorities,1.0,6
systems transitions,1.0,6
solidarity,1.0,6
institutional arrangements,1.0,6
industrial systems,1.0,6
LAPSSET,1.0,6
environmental quality,1.0,6
change,1.0,6
values,1.0,6
collective action,1.0,6
SDG 5,1.0,6
intergenerational equity,1.0,6
Livelihood diversification,1.0,6
Urban green infrastructure,1.0,6
economic feasibility,1.0,6
planned relocation,1.0,6
ICZM,1.0,6
Agenda 2030,1.0,5
development trajectories,1.0,5
social choices,1.0,5
societal systems,1.0,5
transformative pathways,1.0,5
systems,1.0,5
dryland regions,1.0,5
pastoralism,1.0,5
mitigation costs,1.0,5
energy systems,1.0,5
IEA,1.0,5
social change,1.0,5
Gender equality,1.0,5
local institutions,1.0,5
carbon pricing,1.0,5
Green GDP,1.0,5
green growth,1.0,5
oral histories,1.0,5
carbon tax,1.0,5
Working Group III,1.0,5
green GDP,1.0,5
IISD,1.0,5
feasibility assessment,1.0,5
institutional barriers,1.0,5
Sustainable aquaculture,1.0,5
ecosystem connectivity,1.0,5
CRD,0.9952275179660118,172
mitigation options,0.9767349000300197,20
planetary boundaries,0.926760854543381,13
greenhouse gas emissions,0.9265251423468644,14
shared socioeconomic pathways,0.9124328807513667,15
sustainability,0.9094864572006931,80
synergies,0.9052327114591572,39
climate action,0.8891947445633831,52
CRDPs,0.8759688872351937,13
sustainable development,0.8736870554117127,168
innovation,0.8604458703867812,8
social movements,0.8587483426220119,10
IPCC Special Report,0.8471178137186071,7
social justice,0.8450085778477515,20
sustainable development goals,0.8347130393893536,24
Climate resilient development,0.8222212510885765,7
Millennium Ecosystem Assessment,0.810136780014286,6
economic development,0.8037028357453633,14
2030 Agenda,0.7762517405707122,7
conservation agriculture,0.7749485435082624,15
gender,0.7695424863229784,48
transparency,0.7605449889146466,14
development,0.758318886368718,9
SDGs,0.7546111804081393,67
s,0.7513714352958856,5
humanity,0.7513714352958856,5
civil society,0.7391277729716051,16
International Monetary Fund,0.7147840116055565,5
equity,0.712190263770255,9
social inequalities,0.7090660681325904,6
Indigenous knowledge,0.706557097854092,42
renewable energy,0.6959658276848014,7
climate policy,0.6950667379264464,7
local knowledge,0.6795122554896962,27
SSPs,0.679229480341496,9
community resilience,0.6604219492326875,5
green infrastructure,0.6600758108562769,15
GDP,0.6434927064558232,11
Pastoralism,0.6309762212504542,5
Gender,0.6260342503924988,17
Geoforum,0.6255183163573925,16
global greenhouse gas emission pathways,0.6083433472639421,8
government,0.603175503154002,7
economic growth,0.6010758341823504,21
