keyword,tfidf,count
deep uncertainty,1.0,15
decision makers,1.0,13
urgency,1.0,12
litigation,1.0,11
standards,1.0,11
MCDA,1.0,10
catalysing conditions,1.0,9
Uncertainty,1.0,9
compensation,1.0,8
Risk Management,1.0,8
Ambiguityvalue,1.0,8
Deep uncertainty,1.0,8
Cynefin,1.0,8
data sources,1.0,8
adaptive management,1.0,7
Bayesian methods,1.0,7
Deep Uncertainty,1.0,7
Global Stocktake,1.0,7
Overseas Development Institute,1.0,7
motivation,1.0,6
national adaptation plans,1.0,6
Warsaw International Mechanism,1.0,6
interval methods,1.0,6
Uncertainties,1.0,6
AI,1.0,6
Climate Policy Initiative,1.0,6
indicators,1.0,6
aggregation,1.0,6
Decision Analysis,1.0,6
climate change litigation,1.0,6
nature restoration,1.0,5
business,1.0,5
procedural equity,1.0,5
decision analysis,1.0,5
Cynefin context,1.0,5
artificial intelligence,1.0,5
prescriptive modelling,1.0,5
sensitivity analysis,1.0,5
Cognitive phaseResources,1.0,5
epistemic uncertainties,1.0,5
Extreme Events,1.0,5
climate change legislation,1.0,5
social governance,1.0,5
environmental governance,1.0,5
adaptive governance,1.0,5
scientific knowledge,1.0,5
UNFCCC SCF,1.0,5
Global Commission,1.0,5
GIZ,1.0,5
comparability,1.0,5
international climate finance,1.0,5
Math,1.0,5
Economics,1.0,5
Grantham Research Institute,1.0,5
climate risk management,0.9861453840226855,38
knowledge systems,0.9517888181841325,17
climate finance,0.9469780073440963,33
learning,0.8908450519285491,17
Finance,0.8840608965051113,8
robustness,0.881352183389505,10
Climate Finance,0.8710506318563694,12
maladaptation,0.8626919313822473,25
social safety nets,0.838860912967636,8
risk management,0.8375731692294511,37
adaptation finance,0.8060360757220563,15
regulations,0.7994949887542494,7
Mastrandrea,0.7514046687167214,8
developed countries,0.7404096002463126,8
climate services,0.7392810170210925,39
Fifth Assessment Report,0.7306379635828433,10
Climate services,0.7205364395290249,5
uncertainty,0.7196270649177479,36
finance,0.714715157926699,18
marginalised groups,0.6979449128866023,8
residual risks,0.6941826829728744,11
climate vulnerability,0.6863093901193887,5
residual risk,0.6805618730342212,8
monitoring,0.675353296741576,7
UNEP,0.6656087313340753,27
Insurance,0.6546949198934717,7
developing countries,0.6461446923272158,45
climate risks,0.637511612373955,41
knowledge,0.6358233487477851,8
United Nations Environment Programme,0.6326261232686692,5
climate science,0.6210272252638875,6
Disasters,0.6109432170987519,9
