keyword,tfidf,count
COP26,1.0,26
Mitigation pathways,1.0,23
AR6 scenarios database,1.0,19
net negative emissions,1.0,18
net negative CO2 emissions,1.0,18
economic benefits,1.0,17
Illustrative Mitigation Pathways,1.0,14
reference scenarios,1.0,12
IAM pathways,1.0,12
overshoot,1.0,11
Mitigation Pathways,1.0,11
feasibility,1.0,11
peak warming,1.0,10
temperature overshoot,1.0,10
climate goals,1.0,9
reference scenario,1.0,9
cumulative emissions,1.0,9
net,1.0,8
database,1.0,8
emission pathways,1.0,8
mitigation scenarios,1.0,8
global mean temperature,1.0,8
net zero CO2 emissions,1.0,8
residual emissions,1.0,7
mitigation action,1.0,7
economic,1.0,7
SSP1,1.0,7
AR6 WGI,1.0,7
economic activity,1.0,7
climate impacts,1.0,6
SSPs,1.0,6
non-CO2 emissions,1.0,6
net zero GHG emissions,1.0,6
warming limit,1.0,6
lifestyle changes,1.0,6
temperature,1.0,6
social cost,1.0,6
political feasibility,1.0,6
climate stabilization,1.0,6
WGI,1.0,5
cumulative net CO2 emissions,1.0,5
national GHG inventories,1.0,5
climate change mitigation policies,1.0,5
reference pathways,1.0,5
sectoral models,1.0,5
climate model emulators,1.0,5
non,1.0,5
climate emulators,1.0,5
climate assessment,1.0,5
emissions mitigation,1.0,5
non-biomass renewables,1.0,5
immediate action pathways,1.0,5
improved air quality,1.0,5
One Earth,1.0,5
cumulative CO2 emissions,0.9673836554396926,21
mitigation pathways,0.9498232443983295,50
final energy,0.9310739487130053,12
carbon budgets,0.9153423653243364,15
carbon budget,0.9048258431135767,36
Shared Socioeconomic Pathways,0.8880699857398633,10
climate change impacts,0.8783560368123334,15
inequality,0.8758818298255033,13
discount rate,0.8595666815273131,8
human health,0.8533245505410524,9
mitigation costs,0.8084322061764416,19
Integrated Assessment Models,0.8035668781592269,6
IMPs,0.7940750732203589,12
emissions gap,0.7933526592415824,8
population growth,0.7863735999115121,7
AR6 scenario database,0.768604843675187,8
crop yields,0.7641335571916342,6
structural change,0.7609668129680319,6
energy supply,0.7588048905272469,6
anthropogenic emissions,0.7474205409577929,5
global warming,0.732359889135197,28
CDR deployment,0.7318197391967626,6
limited overshoot,0.7284778277132099,7
IPCC Special Report,0.6965751010221988,5
SSP5,0.6947392209071438,5
integrated assessment models,0.6903407141027504,10
Social Cost of Carbon,0.6883285090100701,6
carbon dioxide removal,0.6636633012719663,10
global models,0.6585172952942173,7
carbon prices,0.6585172952942173,7
CDR options,0.6555684578107502,7
2030,0.6457763603861034,11
sectoral studies,0.6448837537905776,6
primary energy,0.6373272778947353,7
greenhouse gases,0.6237968357465009,7
poverty,0.6188757365958781,17
climate targets,0.6103288451364619,6
IAM,0.6091572418970083,6
interquartile range,0.6048537778508827,5
net zero emissions,0.6030912467588838,9
food insecurity,0.6008630251577275,7
