chapter,keyword
Chapter_2,AIS
Chapter_2,TSI
Chapter_2,GrIS
Chapter_2,SWV
Chapter_2,OLS regression
Chapter_2,Medieval Climate Anomaly
Chapter_2,EECO
Chapter_2,SIA
Chapter_2,phenological metrics
Chapter_2,growing season
Chapter_2,ALT
Chapter_2,tropopause height
Chapter_2,decadal means
Chapter_2,monsoon systems
Chapter_2,data coverage
Chapter_2,TCWV
Chapter_2,NMAT
Chapter_2,ice sheet
Chapter_2,chlorophyll concentration
Chapter_2,CSIRO
Chapter_2,Ross Sea
Chapter_2,East Antarctica
Chapter_2,permafrost temperatures
Chapter_2,marine primary production
Chapter_2,species turnover
Chapter_2,observational evidence
Chapter_2,parametric uncertainty
Chapter_2,paleoclimate reference periods
Chapter_2,Global mean surface temperature
Chapter_2,Mixing ratios
Chapter_2,direct observations
Chapter_2,mixing ratios
Chapter_2,HC
Chapter_2,African Humid Period
Chapter_2,land cover changes
Chapter_2,phenology
Chapter_2,ICOADS
Chapter_2,reanalysis products
Chapter_2,radiosondes
Chapter_2,HadISDH
Chapter_2,central Asia
Chapter_2,GM precipitation
Chapter_2,HadISD
Chapter_2,Younger Dryas
Chapter_2,whaling records
Chapter_2,IMBIE Consortium
Chapter_2,Seychelles
Chapter_2,ary
Chapter_2,GPS radio occultation
Chapter_2,Earth
Chapter_2,McClymont
Chapter_2,Antarctic sea ice area
Chapter_2,land species
Chapter_2,precipitation rate
Chapter_2,ocean pH
Chapter_2,DeepMIP
Chapter_2,tropospheric aerosols
Chapter_2,satellite records
Chapter_2,boron isotope proxy
Chapter_2,CO2 mixing ratios
Chapter_2,centennial timescales
Chapter_2,radiatively important gases
Chapter_2,Atmospheric abundances
Chapter_2,SF6
Chapter_2,southern Asia
Chapter_2,IAGOS aircraft
Chapter_2,biophysical effects
Chapter_2,grasslands
Chapter_2,total column water vapour
Chapter_2,peak warmth
Chapter_2,125 ka
Chapter_2,SST analyses
Chapter_2,HadSST4
Chapter_2,bias adjustments
Chapter_2,ERSSTv4
Chapter_2,diurnal temperature range
Chapter_2,Quaternary
Chapter_2,Hydroclimate
Chapter_2,GPCC V2020
Chapter_2,northern Eurasia
Chapter_2,tropical belt
Chapter_2,GM
Chapter_2,westerly winds
Chapter_2,multiple reanalyses
Chapter_2,SSW events
Chapter_2,Eurasian continent
Chapter_2,satellite altimetry
Chapter_2,proxy indicators
Chapter_2,Pleistocene
Chapter_2,WCRP Global Sea Level Budget Group
Chapter_2,WAIS
Chapter_2,European Alps
Chapter_2,MIS 11
Chapter_2,MH
Chapter_2,tide gauge reconstructions
Chapter_2,heat transport
Chapter_2,Labrador Sea Water
Chapter_2,poleward migration
Chapter_2,Indonesian throughflow
Chapter_2,boron isotopes
Chapter_2,Cenozoic Era
Chapter_2,confidence statement
Chapter_2,Climatology
Chapter_2,larval transport
Chapter_2,growing season length
Chapter_2,green leaf area
Chapter_2,NDVI
Chapter_2,Loess Plateau
Chapter_2,global greening
Chapter_2,KM5c
Chapter_2,NAO reconstructions
Chapter_2,Remote Sens
Chapter_2,Copernicus Marine Service Ocean State Report
Chapter_2,atology
